X,Y,OBJECTID,LANDMARKID,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LANDMARK,MORNING_BELL,NUTRITION_BREAK1,LUNCH,NUTRITION_BREAK2,AFTERNOON_DISMISSAL,PROPERTYUNITID,CIVIC_NO,STREET,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,COMMON_LOCATION_REFERENCE,LOCATION_DESCRIPTION,ON_CALL,DIVISION_RESPONSIBLE,OWNERSHIP,ENFORCEMENT_AREA
-80.53109845953739,43.42068068728873,67,163,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. MARK CATHOLIC SCHOOL,08:45,,11:30 - 12:30,,15:15,1060380,240,AUTUMN HILL CRES,ACTIVE,,N - NO,41,St. Mark C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,2
-80.446457649636997,43.461727240588708,68,113,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,CANADIAN MARTYRS CATHOLIC SCHOOL,08:50,,11:45 - 12:45,,15:30,1069858,50,CONFEDERATION DR,ACTIVE,,N - NO,6,Canadian Martyrs C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.546791634728947,43.440876665063477,69,166,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,SECONDARY SCHOOL,RESURRECTION CATHOLIC SECONDARY SCHOOL,,,,,,1063926,455,UNIVERSITY AVE W,ACTIVE,,N - NO,,Resurrection C.S.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,0
-80.466813054472937,43.420256339077049,70,950,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,SECONDARY SCHOOL,ST. MARY'S CATHOLIC HIGH SCHOOL,,,,,,1076020,1500,BLOCK LINE RD,ACTIVE,,N - NO,,St. Mary's C.S.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,0
-80.453403233501973,43.426480484219674,72,131,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,WILSON AVENUE PUBLIC SCHOOL,08:50,10:30 - 11:10,,12:50 - 13:30,15:10,1021326,221,WILSON AVE,ACTIVE,,N - NO,50,Wilson Ave P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.520844557258243,43.449223920691566,73,144,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,WESTMOUNT PUBLIC SCHOOL,09:00,10:40 - 11:20,,13:00 - 13:40,15:20,1071922,329,GLASGOW ST,ACTIVE,,N - NO,48,Westmount P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.526674020653346,43.418605260840806,74,165,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,MEADOWLANE PUBLIC SCHOOL,09:10,<Null>,,<Null>,15:30,1048162,236,FORESTWOOD DR,ACTIVE,,N - NO,22,Meadowlane P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.490630160116083,43.468272941320237,75,140,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,PRUETER PUBLIC SCHOOL,09:00,10:40 - 11:20,,13:00 - 13:40,15:20,1069816,40,PRUETER AVE,ACTIVE,,N - NO,26,Prueter P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.547084072161951,43.420188973052277,76,147,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,JOHN DARLING PUBLIC SCHOOL,08:50,10:30 - 11:10,,12:50 - 13:30,15:10,1052066,200,ROLLING MEADOWS DR,ACTIVE,,N - NO,17,John Darling P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.437835164983696,43.392376457484048,77,129,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. TIMOTHY CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1013323,15,BECHTEL DR,ACTIVE,,N - NO,44,St. Timothy C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,4
