X,Y,OBJECTID,LANDMARKID,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LANDMARK,MORNING_BELL,NUTRITION_BREAK1,LUNCH,NUTRITION_BREAK2,AFTERNOON_DISMISSAL,PROPERTYUNITID,CIVIC_NO,STREET,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,COMMON_LOCATION_REFERENCE,LOCATION_DESCRIPTION,ON_CALL,DIVISION_RESPONSIBLE,OWNERSHIP,ENFORCEMENT_AREA
-80.492840719162984,43.418535289451803,1,133,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,MSGR. R.M. HALLER CATHOLIC SCHOOL,08:25,,11:15 - 12:15,,15:00,1045616,118,SHEA CRES,ACTIVE,,N - NO,23,Msgr. R.M. Haller C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,3
-80.411431996558619,43.449004648515668,2,5571,2011-01-02T15:47:12.000Z,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. JOHN PAUL II CATHOLIC SCHOOL,,,,,,40245844,75,PEBBLECREEK DR,ACTIVE,,Y - YES,39,St. John Paul II C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.509066158442522,43.449049521606938,3,143,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. JOHN'S CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1046289,99,STRANGE ST,ACTIVE,,N - NO,38,St. John's C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,2
-80.499190879968239,43.452299909336453,4,5609,2011-06-28T11:19:47.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2011-06-28T00:00:00.000Z,UNIVERSITY,UNIVERSITY,MCMASTER UNIVERSITY SCHOOL OF MEDICINE,,,,,,40261931,10,VICTORIA ST S,ACTIVE,,N - NO,,McMaster School of Medicine,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.49907463162539,43.452811346528577,5,5610,2011-06-28T11:19:55.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2011-06-28T00:00:00.000Z,UNIVERSITY,UNIVERSITY,UNIVERSITY OF WATERLOO HEALTH SCIENCES CAMPUS SCHOOL OF PHARMACY,,,,,,1046661,10,VICTORIA ST S,ACTIVE,,N - NO,,UW School of Pharmacy,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.52397845503522,43.44261989585609,6,3335,2006-01-12T10:21:00.000Z,2019-03-11T15:21:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ALTERNATIVE ELEMENTARY SCHOOL,KITCHENER AREA ENRICHMENT PROGRAM,,,,,,1000782,11,CHOPIN DR,ACTIVE,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.487109033634951,43.449499658469669,7,5715,,2019-03-11T15:21:28.000Z,http://www.trios.com,2011-02-08T00:00:00.000Z,COLLEGE,CAREER COLLEGE,TRIOS COLLEGE,,,,,,1075972,100,KING ST E,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.496606990775845,43.41776173650139,8,134,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,TRILLIUM PUBLIC SCHOOL,09:00,<Null>,,<Null>,15:20,1044555,79,LAURENTIAN DR,ACTIVE,,N - NO,46,Trillium P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.491934360444318,43.410471900587019,9,135,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,GLENCAIRN PUBLIC SCHOOL,08:55,<Null>,,<Null>,15:15,1007511,664,ERINBROOK DR,ACTIVE,,N - NO,12,Glencairn P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.464912793675865,43.429937518613691,11,215,,2019-03-11T15:21:28.000Z,WWW.SUNSHINEMONTESSORI.ON.CA,2006-01-12T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL 18 MONTHS TO GRADE 8,SUNSHINE MONTESSORI SCHOOL,,,,,,1049880,10,BONIFACE AVE,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.506025667298132,43.426146959207649,14,149,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,FOREST HILL PUBLIC SCHOOL,09:00,10:40 - 11:20,,13:00 - 13:40,15:20,1022839,255,WESTMOUNT RD E,ACTIVE,,N - NO,10,Forest Hill P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.523568956921196,43.442738148572133,15,145,,2019-03-13T16:27:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,A.R. KAUFMAN PUBLIC SCHOOL,08:40,<Null>,,<Null>,15:00,1000782,11,CHOPIN DR,ACTIVE,,N - NO,1,A.R. Kaufman P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.440591811507659,43.453898858814725,16,111,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,CRESTVIEW PUBLIC SCHOOL,08:45,<Null>,,<Null>,15:05,1026066,153,MONTCALM DR,ACTIVE,,N - NO,8,Crestview P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.452132973717397,43.385068417500726,17,5713,2011-08-02T13:54:56.000Z,2019-03-11T15:21:28.000Z,http://www.carmelnewchurch.org/school.html,,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 10,CARMEL NEW CHURCH & SCHOOL,,,,,,1024423,40,CHAPEL HILL DR,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.41905650822055,43.452443960663686,18,955,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,LACKNER WOODS PUBLIC SCHOOL,09:00,10:40 - 11:20,,13:00 - 13:40,15:20,1042573,151,ZELLER DR,ACTIVE,,N - NO,20,Lackner Woods P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.46178156063722,43.453972375085435,19,107,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,SMITHSON PUBLIC SCHOOL,08:55,10:47 - 11:27,,13:20 - 14:00,15:15,1012821,150,BELLEVIEW AVE,ACTIVE,,N - NO,31,Smithson P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.447564774583981,43.465994438787192,20,114,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,MACKENZIE KING PUBLIC SCHOOL,08:55,10:35 - 11:15,,12:55 - 13:35,15:15,1059813,51,NATCHEZ RD,ACTIVE,,N - NO,21,Mackenzie King P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.478178828060919,43.419850730048651,21,123,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,OUR LADY OF GRACE CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1019320,70,GRACEFIELD CRES,ACTIVE,,N - NO,24,Our Lady of Grace C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,3
-80.448664953468594,43.448365348103351,22,117,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. DANIEL CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1006198,39,MIDLAND DR,ACTIVE,,N - NO,36,St. Daniel C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.539952899017933,43.433753185906284,23,228,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. DOMINIC SAVIO CATHOLIC SCHOOL,08:50,,11:45 - 12:45,,15:30,1012343,3,WESTFOREST TRAIL,ACTIVE,,N - NO,37,St. Dominic Savio C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,2
-80.486640737969466,43.483239203893469,24,106,,2019-03-13T16:27:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,BRIDGEPORT PUBLIC SCHOOL,09:10,10:50 - 11:30,,13:10 - 13:50,15:30,1067995,59,BRIDGE ST W,ACTIVE,,N - NO,4,Bridgeport P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.508825128907489,43.455783420165886,25,141,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,SEMESTERED SECONDARY SCHOOL,KITCHENER-WATERLOO COLLEGIATE & VOCATIONAL SCHOOL,08:20,,,,14:30,1003162,787,KING ST W,ACTIVE,,N - NO,,KWCVI,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.483498453966845,43.407227979075557,26,125,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,BLESSED SACRAMENT CATHOLIC SCHOOL,08:28,,11:15 - 12:15,,15:00,1013852,367,THE COUNTRY WAY,ACTIVE,,N - NO,3,Blessed Sacrament C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,3
-80.481840323704645,43.444614363301149,27,159,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,SEMESTERED SECONDARY SCHOOL,CAMERON HEIGHTS COLLEGIATE INSTITUTE,08:15,,,,14:45,1061158,301,CHARLES ST E,ACTIVE,,N - NO,,Cameron Heights C.I.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.504261477873342,43.402875582542464,28,4783,2007-08-31T10:36:23.000Z,2019-03-13T16:50:35.000Z,WWW.WCDSB.CA,2007-08-31T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,WILLIAMSBURG PUBLIC SCHOOL,09:00,10:40 - 11:20,,13:00 - 13:40,15:20,40248432,760,COMMONWEALTH CRES,ACTIVE,,N - NO,49,Williamsburg P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.47057988587251,43.413764419418243,29,126,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,COUNTRY HILLS PUBLIC SCHOOL,09:10,10:50 - 11:30,,13:10 - 13:50,15:30,1051312,195,COUNTRY HILL DR,ACTIVE,,N - NO,7,Country Hills P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.54361627164198,43.432565745322478,30,956,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,SANDHILLS PUBLIC SCHOOL,08:35,<Null>,,<Null>,14:55,1012371,1250,VICTORIA ST S,ACTIVE,,N - NO,29,Sandhills P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.47045443463287,43.450980160864702,31,288,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. ANNE CATHOLIC SCHOOL,08:30,,11:20 - 12:20,,15:05,1068481,250,EAST AVE,ACTIVE,,N - NO,34,St. Anne C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.518322271477146,43.429417222960957,32,151,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,SOUTHRIDGE PUBLIC SCHOOL,08:55,10:35 - 11:15,,12:55 - 13:35,15:15,1070261,1425,QUEENS BLVD,ACTIVE,,N - NO,32,Southridge P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.491968609754807,43.43396572671093,33,156,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. BERNADETTE CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1049672,245,LORNE AVE,ACTIVE,,N - NO,35,St. Bernadette C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,3
-80.402949281836854,43.390579656392319,34,261,,2019-03-11T15:21:28.000Z,WWW.CONESTOGAC.ON.CA,2006-01-12T00:00:00.000Z,COLLEGE,CAREER COLLEGE,CONESTOGA COLLEGE,,,,,,1022170,299,DOON VALLEY DR,ACTIVE,,N - NO,,Conestoga College,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.481823659058861,43.407542075904495,37,170,,2019-03-13T16:44:01.000Z,WWW.CSDCCS.EDU.ON.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ECOLE ELEMENTAIRE CATHOLIQUE CARDINAL-LEGER,,,,,,1013851,345,THE COUNTRY WAY,ACTIVE,,N - NO,,E.C. Cardinal-Léger,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,0
-80.500400715373729,43.416440206652304,38,124,,2019-03-11T15:21:28.000Z,WWW.LHCS.WS,2006-01-12T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 8,LAURENTIAN HILLS CHRISTIAN SCHOOL,,,,,,1004548,11,LAURENTIAN DR,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.516348496188485,43.425312521908978,39,150,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. PAUL CATHOLIC SCHOOL,08:28,,11:15 - 12:15,,15:00,1068472,45,BIRCHCLIFF AVE,ACTIVE,,N - NO,42,St. Paul C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,2
-80.501873780637766,43.416434762086531,40,120,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,LAURENTIAN PUBLIC SCHOOL,08:30,10:40 - 11:20,,12:40 - 13:20,14:50,1052783,777,WESTMOUNT RD E,ACTIVE,,N - NO,,Laurention P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.488481693680882,43.443103295060773,41,3314,2006-01-12T10:00:46.000Z,2019-03-11T15:21:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL,COMMUNITY LEARNING CENTRE,,,,,,1045744,107,COURTLAND AVE E,ACTIVE,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.478958013707157,43.427229441791127,43,3333,2006-01-12T10:17:46.000Z,2019-03-12T17:26:51.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY AND SECONDARY,ELEMENTARY AND SECONDARY SCHOOL,INTERNATIONAL STUDENT INTAKE OFFICE,,,,,,1019050,51,ARDELT AVE,ACTIVE,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.464344476596736,43.42939003194401,44,122,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,ROCKWAY PUBLIC SCHOOL,09:00,<Null>,,<Null>,15:20,1059965,70,VANIER DR,ACTIVE,,N - NO,28,Rockway P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.486283482012041,43.430327709129983,45,155,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,QUEEN ELIZABETH PUBLIC SCHOOL,08:40,10:20 - 11:00,,12:40 - 13:20,15:00,1021486,191,HOFFMAN ST,ACTIVE,,N - NO,27,Queen Elizabeth P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.486564553469805,43.448450006777087,48,3358,2006-01-12T10:33:02.000Z,2019-03-11T15:21:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,ADULT & CONTINUING SCHOOL,U-TURN/SELF STUDY DEPOT SCHOOL,,,,,,1048611,165,KING ST E,ACTIVE,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.504276841530697,43.439983043449914,51,154,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,J.F. CARMICHAEL PUBLIC SCHOOL,08:55,10:35 - 11:15,,12:55 - 13:35,15:15,1059483,80,PATRICIA AVE,ACTIVE,,N - NO,14,J.F. Carmichael P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.491885216567098,43.453098990210869,52,3401,2006-01-12T12:20:18.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2006-01-12T00:00:00.000Z,SECONDARY,ADULT & CONTINUING SCHOOL,ST. LOUIS ADULT LEARNING CENTRE,,,,,,1004049,80,YOUNG ST,ACTIVE,,N - NO,,,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,0
-80.441424348349415,43.434725118004337,53,3412,2006-01-12T13:18:52.000Z,2019-03-11T15:21:28.000Z,WWW.EBCOLLEGE.ON.CA,2006-01-12T00:00:00.000Z,COLLEGE,BIBLE COLLEGE,EMMANUEL BIBLE COLLEGE,,,,,,1050346,100,FERGUS AVE,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
